cod,nome,nome_curto,incl,excl,crit,cons,nota,icd10,ICD_10_new,ICD_10_list_description,ICD_10_list_description_join
H76,Corpo estranho no ouvido,Corpo estranho no ouvido,,,,,,T16,['T16'],['Corpo estranho no ouvido'],Corpo estranho no ouvido
H77,Perfuração do tímpano,Perfuração do tímpano,,perfuração do tímpano com infecção (otite média aguda/miringite) H71; perfuração do tímpano com infecção (otite média crónica) H74; rotura do tímpano traumática/por pressão H79,,,,H72.0; H72.1; H72.2; H72.8; H72.9,"['H720', 'H721', 'H722', 'H728', 'H729']","['Perfuração central da membrana do tímpano', 'Perfuração ática da membrana do tímpano', 'Outras perfurações marginais da membrana do tímpano', 'Outras perfurações da membrana do tímpano', 'Perfuração, sem outra especificação, da membrana do tímpano']","Perfuração central da membrana do tímpano; Perfuração ática da membrana do tímpano; Outras perfurações marginais da membrana do tímpano; Outras perfurações da membrana do tímpano; Perfuração, sem outra especificação, da membrana do tímpano"
H78,Traumatismo superficial do ouvido,Traumatismo superficial do ouvido,traumatismo do meato externo/pavilhão auricular,traumatismo do tímpano H79,,,,S00.4,['S004'],['Escoriação da orelha'],Escoriação da orelha
H79,Traumatismo do ouvido outro,Traumatismo do ouvido outro,rotura do tímpano traumática/por pressão,,,,,S01.3; S07.8; S08.1; S09.2; T70.0,"['S013', 'S078', 'S081', 'S092', 'T700']","['Ferida aberta da orelha', 'Lesão por esmagamento de outras partes da cabeça', 'Amputação traumática da orelha', 'Rotura traumática do tímpano', 'Otite barotraumática']",Ferida aberta da orelha; Lesão por esmagamento de outras partes da cabeça; Amputação traumática da orelha; Rotura traumática do tímpano; Otite barotraumática
H80,Malformação congénita do ouvido,Malformação congénita do ouvido,orelha acessória; orelhas de morcego,surdez congénita H86,,,,Q16.0; Q16.1; Q16.2; Q16.3; Q16.4; Q16.5; Q16.9; Q17.0; Q17.1; Q17.2; Q17.3; Q17.4; Q17.5; Q17.8; Q17.9,"['Q160', 'Q161', 'Q162', 'Q163', 'Q164', 'Q165', 'Q169', 'Q170', 'Q171', 'Q172', 'Q173', 'Q174', 'Q175', 'Q178', 'Q179']","['Ausência congénita do ouvido externo', 'Ausência, atrésia e estreitamento congénitos do conduto auditivo (externo)', 'Ausência da trompa de Eustáquio', 'Anomalias congénitas dos ossiculos do ouvido', 'Anomalias congénitas do ouvido médio excepto ossiculos', 'Anomalias congénitas do ouvido interno', 'Malformação congénita do ouvido não especificada causando comprometimento da audição', 'Orelha supranumerária', 'Macrotia (anomalia congénita da orelha)', 'Microtia (anomalia congénita da orelha)', 'Outras deformidades da orelha', 'Posição anómala da orelha', 'Orelhas proeminentes', 'Outras malformações congénitas especificadas da orelha', 'Malformação congénita do ouvido SOE']","Ausência congénita do ouvido externo; Ausência, atrésia e estreitamento congénitos do conduto auditivo (externo); Ausência da trompa de Eustáquio; Anomalias congénitas dos ossiculos do ouvido; Anomalias congénitas do ouvido médio excepto ossiculos; Anomalias congénitas do ouvido interno; Malformação congénita do ouvido não especificada causando comprometimento da audição; Orelha supranumerária; Macrotia (anomalia congénita da orelha); Microtia (anomalia congénita da orelha); Outras deformidades da orelha; Posição anómala da orelha; Orelhas proeminentes; Outras malformações congénitas especificadas da orelha; Malformação congénita do ouvido SOE"
H81,Cerumen no ouvido em excesso,Cerumen no ouvido em excesso,,,sintoma/queixa devido a cera no canal auditivo,,,H61.2,['H612'],['Rolha de cerume'],Rolha de cerume
H82,Síndrome vertiginosa,Síndrome vertiginosa,vertigem paroxística/posicional benigna; labirintite; doença de Meniére; neuronite vestibular,,vertigem giratória verdadeira,vertigens/tonturas N17,,A88.1; H81.0; H81.1; H81.2; H81.3; H81.4; H81.8; H81.9; H82; H83.0; H83.1; H83.2,"['A881', 'H810', 'H811', 'H812', 'H813', 'H814', 'H818', 'H819', 'H82', 'H830', 'H831', 'H832']","['Vertigem epidémica', 'Doença de Ménière', 'Vertigem paroxística benigna', 'Neuronite vestibular', 'Outra vertigem periférica', 'Vertigem de origem central', 'Outras patologias da função vestibular', 'Patologia, sem outra especificação, da função vestibular', 'Síndromes vertiginosas em doenças classificadas noutra parte', 'Labirintite', 'Fístula do labirinto', 'Disfunção do labirinto']","Vertigem epidémica; Doença de Ménière; Vertigem paroxística benigna; Neuronite vestibular; Outra vertigem periférica; Vertigem de origem central; Outras patologias da função vestibular; Patologia, sem outra especificação, da função vestibular; Síndromes vertiginosas em doenças classificadas noutra parte; Labirintite; Fístula do labirinto; Disfunção do labirinto"
H83,Otoesclerose,Otoesclerose,,,,,,H80.0; H80.1; H80.2; H80.8; H80.9,"['H800', 'H801', 'H802', 'H808', 'H809']","['Otosclerose que compromete a janela oval, não obliterante', 'Otosclerose que compromete a janela oval, obliterante', 'Otosclerose da cóclea', 'Outra otosclerose', 'Otosclerose, sem outra especificação']","Otosclerose que compromete a janela oval, não obliterante; Otosclerose que compromete a janela oval, obliterante; Otosclerose da cóclea; Outra otosclerose; Otosclerose, sem outra especificação"
H84,Presbiacusia,Presbiacusia,,surdez H86,"desenvolvimento progressivo de surdez simétrica bilateral com o envelhecimento, principalmente na percepção de sons de alta frequência",dificuldade auditiva H28,,H91.1,['H911'],['Presbiacusia'],Presbiacusia
H85,Lesão acústica,Lesão acústica,surdez por ruído,perfuração do tímpano H77,"surdez para sons de alta frequência, com história de exposição a ruído elevado",dificuldade auditiva H28; surdez H86,,H83.3,['H833'],['Efeitos do ruído sobre o ouvido interno'],Efeitos do ruído sobre o ouvido interno
H86,Surdez,Surdez,surdez congénita; surdez de um ouvido; surdez parcial/total de ambos os ouvidos,surdez temporária H28; otoesclerose H83; presbiacusia H84; surdez por ruído H85,,,,H90.0; H90.1; H90.2; H90.3; H90.4; H90.5; H90.6; H90.7; H90.8; H91.0; H91.2; H91.3; H91.8; H91.9,"['H900', 'H901', 'H902', 'H903', 'H904', 'H905', 'H906', 'H907', 'H908', 'H910', 'H912', 'H913', 'H918', 'H919']","['Surdez de condução, bilateral', 'Surdez de condução, unilateral, sem audição limitada no lado contralateral', 'Surdez de condução, sem outra especificação', 'Surdez neuro-sensorial, bilateral', 'Surdez neuro-sensorial, unilateral, sem audição limitada no lado contralateral', 'Perda de audição neuro-sensorial, sem outra especificação', 'Surdez mista de condução e neuro-sensorial, bilateral', 'Surdez mista de condução e neuro-sensorial, unilateral, sem audição limitada no lado contralateral', 'Surdez mista de condução e neuro-sensorial, sem outra especificação', 'Surdez ototóxica', 'Perda súbita da audição idiopática', 'Surdo-mudez, não classificado noutra parte', 'Outros tipos de surdez especificados', 'Surdez, sem outra especificação']","Surdez de condução, bilateral; Surdez de condução, unilateral, sem audição limitada no lado contralateral; Surdez de condução, sem outra especificação; Surdez neuro-sensorial, bilateral; Surdez neuro-sensorial, unilateral, sem audição limitada no lado contralateral; Perda de audição neuro-sensorial, sem outra especificação; Surdez mista de condução e neuro-sensorial, bilateral; Surdez mista de condução e neuro-sensorial, unilateral, sem audição limitada no lado contralateral; Surdez mista de condução e neuro-sensorial, sem outra especificação; Surdez ototóxica; Perda súbita da audição idiopática; Surdo-mudez, não classificado noutra parte; Outros tipos de surdez especificados; Surdez, sem outra especificação"
H99,Doença do ouvido/mastóide outra,Doença do ouvido/mastóide outra,constrição do canal externo; canal externo estreito; pólipo do ouvido médio; estenose do canal externo,mastoidite H74,,,,H61.0; H61.1; H61.3; H61.8; H61.9; H73.8; H73.9; H74.0; H74.1; H74.2; H74.3; H74.4; H74.8; H74.9; H83.8; H83.9; H93.0; H93.3; H93.8; H93.9; H94.0; H94.8,"['H610', 'H611', 'H613', 'H618', 'H619', 'H738', 'H739', 'H740', 'H741', 'H742', 'H743', 'H744', 'H748', 'H749', 'H838', 'H839', 'H930', 'H933', 'H938', 'H939', 'H940', 'H948']","['Condrite e pericondrite da orelha', 'Patologias não-infecciosas do pavilhão auricular', 'Estenose adquirida do canal auditivo externo', 'Outras patologias especificadas do ouvido externo', 'Patologia do ouvido externo, sem outra especificação', 'Outras patologias especificadas da membrana do tímpano', 'Patologia, sem outra especificação, da membrana do tímpano', 'Timpanosclerose', 'Doença adesiva do ouvido médio', 'Descontinuidade ou luxação dos ossículos do ouvido', 'Outras anomalias adquiridas dos ossículos do ouvido', 'Pólipo do ouvido médio', 'Outras patologias especificadas do ouvido médio e da mastóide', 'Patologia, sem outra especificação, do ouvido médio e da mastóide', 'Outras doenças especificadas do ouvido interno', 'Doença, sem outra especificação, do ouvido interno', 'Patologias degenerativos e vasculares do ouvido', 'patologias do nervo acustico', 'Outras patologias especificadas do ouvido', 'Patologia, sem outra especificação, do ouvido', 'Neurite acústica em doenças infecciosas e parasitárias classificadas noutra parte', 'Outras patologias especificadas do ouvido em doenças classificadas noutra parte']","Condrite e pericondrite da orelha; Patologias não-infecciosas do pavilhão auricular; Estenose adquirida do canal auditivo externo; Outras patologias especificadas do ouvido externo; Patologia do ouvido externo, sem outra especificação; Outras patologias especificadas da membrana do tímpano; Patologia, sem outra especificação, da membrana do tímpano; Timpanosclerose; Doença adesiva do ouvido médio; Descontinuidade ou luxação dos ossículos do ouvido; Outras anomalias adquiridas dos ossículos do ouvido; Pólipo do ouvido médio; Outras patologias especificadas do ouvido médio e da mastóide; Patologia, sem outra especificação, do ouvido médio e da mastóide; Outras doenças especificadas do ouvido interno; Doença, sem outra especificação, do ouvido interno; Patologias degenerativos e vasculares do ouvido; patologias do nervo acustico; Outras patologias especificadas do ouvido; Patologia, sem outra especificação, do ouvido; Neurite acústica em doenças infecciosas e parasitárias classificadas noutra parte; Outras patologias especificadas do ouvido em doenças classificadas noutra parte"
K01,Dor do coração,Dor do coração,dor atribuída ao coração,dor torácica NE A11; medo de ataque cardíaco K24; angina de peito K74; sensação de aperto torácico R29,,,,R07.2,['R072'],['Dor precordial'],Dor precordial
K02,Pressão/aperto do coração,Pressão/aperto do coração,peso no coração,dor torácica NE A11; medo de ataque cardíaco K24; angina de peito K74; falta de ar/dispneia R02,,,,R07.2,['R072'],['Dor precordial'],Dor precordial
K03,Dor cardiovascular NE,Dor cardiovascular NE,,"dor atribuída ao coração K01; claudicação K92, enxaqueca N89",,,,R09.8,['R098'],['Outros sintomas e sinais especificados envolvendo os aparelhos circulatório e respiratório'],Outros sintomas e sinais especificados envolvendo os aparelhos circulatório e respiratório
K04,Palpitações/percepção do coração,Palpitações/percepção do coração,bradicardia; taquicardia,taquicardia paroxística K79,,,,R00.0; R00.1; R00.2,"['R000', 'R001', 'R002']","['Taquicardia, sem outra especificação', 'Bradicardia, sem outra especificação', 'Palpitacões']","Taquicardia, sem outra especificação; Bradicardia, sem outra especificação; Palpitacões"
K05,Irregularidade do batimento cardíaco outra,Irregularidade batim cardíaco outra,,palpitações K04,,,,R00.8,['R008'],['Outras anomalias e as não especificadas da frequência cardíaca'],Outras anomalias e as não especificadas da frequência cardíaca
K06,Veias proeminentes,Veias proeminentes,aranha vascular; veias invulgarmente proeminentes,veias varicosas K95; hemangioma S81,,,,I78.1; I87.8,"['I781', 'I878']","['Nevo, não neoplásico', 'Outras patologias especificadas das veias']","Nevo, não neoplásico; Outras patologias especificadas das veias"
K07,Tornozelos inchados/edema,Tornozelos inchados/edema,hidropsia; retenção de líquidos; pés/pernas inchados,sintoma do tornozelo L16; inchaço localizado S04,,,,R60.0; R60.1; R60.9,"['R600', 'R601', 'R609']","['Edema localizado', 'Edema generalizado', 'Edema, sem outra especificação']","Edema localizado; Edema generalizado; Edema, sem outra especificação"
K22,Factor de risco para doença cardiovascular,Factor de risco para doença cardiovascular,outro factor de risco para doença cardiovascular; história pessoal/familiar de doença cardiovascular; episódio anterior de doença cardiovascular,,,,,Z82.3; Z82.4; Z86.7,"['Z823', 'Z824', 'Z867']","['História familiar de crise convulsiva (cerebrovascular)', 'História familiar de doença isquémica do coração e outras doenças do aparelho circulatório', 'História pessoal de doenças do aparelho circulatório']",História familiar de crise convulsiva (cerebrovascular); História familiar de doença isquémica do coração e outras doenças do aparelho circulatório; História pessoal de doenças do aparelho circulatório
K24,Medo de doença cardíaca,Medo de doença cardíaca,medo de ataque cardíaco,"se o doente tem a doença, codifique-a",preocupação com/medo de ataque cardíaco/doença cardíaca numa pessoa sem a doença/até o diagnóstico ser confirmado,,,Z71.1,['Z711'],['Individuo com queixa de saúde receada em quem nenhum diagnostico foi feito'],Individuo com queixa de saúde receada em quem nenhum diagnostico foi feito
K25,Medo de hipertensão,Medo de hipertensâo,,"se o doente tem a doença, codifique-a",preocupação com/medo de hipertensão numa pessoa sem a doença/até o diagnóstico ser confirmado,,,Z71.1,['Z711'],['Individuo com queixa de saúde receada em quem nenhum diagnostico foi feito'],Individuo com queixa de saúde receada em quem nenhum diagnostico foi feito
K27,Medo de doença cardiovascular outra,Medo de doença cardiovascular outra,,"Medo de doença cardíaca K24; Medo de hipertensão K25; se o doente tem a doença, codifique-a",preocupação com/medo de outra doença do sistema circulatório numa pessoa sem a doença/até o diagnóstico ser confirmado,,,Z71.1,['Z711'],['Individuo com queixa de saúde receada em quem nenhum diagnostico foi feito'],Individuo com queixa de saúde receada em quem nenhum diagnostico foi feito
K28,Limitação funcional/incapacidade (K),Limitação funcional/incapacidade (K),,,limitação de função/incapacidade devida a um problema cardiovascular,,Os quadros COOP/WONCA permitem documentar o estado funcional do doente (ver Capítulo 8),Z73.6,['Z736'],['Limites impostos às atividades por invalidez'],Limites impostos às atividades por invalidez
K29,Sintoma/queixa cardiovascular outro,Sintoma/queixa cardiovascular outro,problema cardíaco; pressão arterial baixa; coração fraco,líquido no pulmão/congestão pulmonar R29; efusão/exsudado pleural R82; cianose S08,,,,R03.1; R09.8,"['R031', 'R098']","['Medida de pressão arterial baixa não especifica', 'Outros sintomas e sinais especificados envolvendo os aparelhos circulatório e respiratório']",Medida de pressão arterial baixa não especifica; Outros sintomas e sinais especificados envolvendo os aparelhos circulatório e respiratório
K70,Infecção do aparelho circulatório,Infecção do aparelho circulatório,endocardite aguda/subaguda; endocardite bacteriana; miocardite; pericardite,doença cardíaca reumática K71; endorcardite crónica K83; flebite/tromboflebite K94; arterite K99,,,,A39.5; B33.2; B37.6; I30.1; I32.0; I32.1; I33.0; I33.9; I38; I40.0; I40.1; I40.8; I40.9; I41.0; I41.1; I41.2; I41.8,"['A395', 'B332', 'B376', 'I301', 'I320', 'I321', 'I330', 'I339', 'I38', 'I400', 'I401', 'I408', 'I409', 'I410', 'I411', 'I412', 'I418']","['Cardite meningocócica', 'Cardite viral', 'Endocardite por Candida', 'Pericardite infecciosa', 'Endocardite infecciosa aguda e subaguda', 'Endocardite aguda, não especificada', 'Endocardite de válvula não especificada', 'Miocardite infecciosa', 'Miocardite isolada', 'Outra miocardite aguda', 'Miocardite aguda, sem outra especificação']","Cardite meningocócica; Cardite viral; Endocardite por Candida; Pericardite infecciosa; Endocardite infecciosa aguda e subaguda; Endocardite aguda, não especificada; Endocardite de válvula não especificada; Miocardite infecciosa; Miocardite isolada; Outra miocardite aguda; Miocardite aguda, sem outra especificação"
K71,Febre/doença cardíaca reumática,Febre/doença cardíaca reumática,coreia; estenose mitral,,"Para a febre reumática aguda: duas manifestações major, ou uma major e duas minor, e ainda evidência de infecção estreptocócica anterior; - manifestações major: poliartrite migratória; cardite; coreia; eritema marginado; aparecimento recente de nódulos subcutâneos; - manifestações minor: febre; artralgia; VS elevada ou proteína C-reactiva positiva; intervalo P-R prolongado no ECG; - Para doença cardíaca reumática crónica: achados físicos consistentes com uma lesão valvular do coração num doente com história de febre reumática; ou achados físicos consistentes com estenose mitral, mesmo na ausência de história de febre reumática, mas sem qualquer outra causa demonstrável ",doença valvular cardíaca K83; outra doença cardíaca K84,,I00; I01.0; I01.1; I01.2; I01.8; I01.9; I02.0; I02.9; I05.0; I05.1; I05.2; I05.8; I05.9; I06.0; I06.1; I06.2; I06.8; I06.9; I07.0; I07.1; I07.2; I07.8; I07.9; I08.0; I08.1; I08.2; I08.3; I08.8; I08.9; I09.0; I09.1; I09.2; I09.8; I09.9,"['I00', 'I010', 'I011', 'I012', 'I018', 'I019', 'I020', 'I029', 'I050', 'I051', 'I052', 'I058', 'I059', 'I060', 'I061', 'I062', 'I068', 'I069', 'I070', 'I071', 'I072', 'I078', 'I079', 'I080', 'I081', 'I082', 'I083', 'I088', 'I089', 'I090', 'I091', 'I092', 'I098', 'I099']","['Febre reumática sem menção de comprometimento cardíaco', 'Pericardite reumática ativa', 'Endocardite reumática ativa', 'Miocardite reumática ativa', 'Doenças reumáticas ativas do coração NCOP', 'Doenças reumáticas ativas do coração SOE', 'Coreia reumática com Complicação cardíaca', 'Coreia reumática sem menção de Complicação cardíaca', 'Estenose mitral reumática', 'Insuficiência mitral de origem reumática', 'Estenose mitral com Insuficiência', 'Outras doenças da válvula mitral', 'Doença não especificada da válvula mitral', 'Estenose aórtica reumática', 'Insuficiência aórtica reumática', 'Estenose aórtica reumática com Insuficiência', 'Outras doenças reumáticas da válvula aórtica', 'Doença reumática da válvula aórtica, não especificada', 'Estenose tricúspide', 'Insuficiência tricúspide reumática', 'Estenose e insuficiência tricúspide reumática', 'Outras doenças reumáticas da válvula tricúspide', 'Doença não especificada da válvula tricúspide', 'Patologias reumáticas de ambas as válvulas mitral e aórtica', 'Patologias de ambas as válvulas mitral e tricúspide', 'Patologias de ambas as válvulas aórtica e tricúspide', 'Patologias das válvulas mitral, aórtica e tricúspide', 'Outras doenças reumáticas de múltiplas válvulas', 'Doença não especificada de múltiplas válvulas', 'Miocardite reumática', 'Doenças reumáticas do endocárdio sem especificar válvula comprometida', 'Pericardite reumática crónica', 'Outras doenças reumáticas do coração especificadas', 'Doença reumática do coração, sem outra especificação']","Febre reumática sem menção de comprometimento cardíaco; Pericardite reumática ativa; Endocardite reumática ativa; Miocardite reumática ativa; Doenças reumáticas ativas do coração NCOP; Doenças reumáticas ativas do coração SOE; Coreia reumática com Complicação cardíaca; Coreia reumática sem menção de Complicação cardíaca; Estenose mitral reumática; Insuficiência mitral de origem reumática; Estenose mitral com Insuficiência; Outras doenças da válvula mitral; Doença não especificada da válvula mitral; Estenose aórtica reumática; Insuficiência aórtica reumática; Estenose aórtica reumática com Insuficiência; Outras doenças reumáticas da válvula aórtica; Doença reumática da válvula aórtica, não especificada; Estenose tricúspide; Insuficiência tricúspide reumática; Estenose e insuficiência tricúspide reumática; Outras doenças reumáticas da válvula tricúspide; Doença não especificada da válvula tricúspide; Patologias reumáticas de ambas as válvulas mitral e aórtica; Patologias de ambas as válvulas mitral e tricúspide; Patologias de ambas as válvulas aórtica e tricúspide; Patologias das válvulas mitral, aórtica e tricúspide; Outras doenças reumáticas de múltiplas válvulas; Doença não especificada de múltiplas válvulas; Miocardite reumática; Doenças reumáticas do endocárdio sem especificar válvula comprometida; Pericardite reumática crónica; Outras doenças reumáticas do coração especificadas; Doença reumática do coração, sem outra especificação"
K72,Neoplasia cardiovascular,Neoplasia cardiovascular,neoplasia cardiovascular benigna/maligna,hemangioma S81,,,,C38.0; C45.2; D15.1; D15.2; D48.7,"['C380', 'C452', 'D151', 'D152', 'D487']","['Neoplasia maligna do coração', 'Mesotelioma do pericárdio', 'Neoplasia benigna do coração', 'Neoplasia benigna do mediastino', 'Neoplasia de comportamento incerto de outras localizações especificadas']",Neoplasia maligna do coração; Mesotelioma do pericárdio; Neoplasia benigna do coração; Neoplasia benigna do mediastino; Neoplasia de comportamento incerto de outras localizações especificadas
K73,Malformação congénita cardiovascular,Malformação congénita cardiovascular,defeito do septo auricular/ventricular; tetralogia de Fallot; canal arterial persistente,hemangioma S81,,,,I42.4; Q20.0; Q20.1; Q20.2; Q20.3; Q20.4; Q20.5; Q20.6; Q20.8; Q20.9; Q21.0; Q21.1; Q21.2; Q21.3; Q21.4; Q21.8; Q21.9; Q22.0; Q22.1; Q22.2; Q22.3; Q22.4; Q22.5; Q22.6; Q22.8; Q22.9; Q23.0; Q23.1; Q23.2; Q23.3; Q23.4; Q23.8; Q23.9; Q24.0; Q24.1; Q24.2; Q24.3; Q24.4; Q24.5; Q24.6; Q24.8; Q24.9; Q25.0; Q25.1; Q25.2; Q25.3; Q25.4; Q25.5; Q25.6; Q25.7; Q25.8; Q25.9; Q26.0; Q26.1; Q26.2; Q26.3; Q26.4; Q26.5; Q26.6; Q26.8; Q26.9; Q27.0; Q27.1; Q27.2; Q27.3; Q27.4; Q27.8; Q27.9; Q28.0; Q28.1; Q28.2; Q28.3; Q28.8; Q28.9,"['I424', 'Q200', 'Q201', 'Q202', 'Q203', 'Q204', 'Q205', 'Q206', 'Q208', 'Q209', 'Q210', 'Q211', 'Q212', 'Q213', 'Q214', 'Q218', 'Q219', 'Q220', 'Q221', 'Q222', 'Q223', 'Q224', 'Q225', 'Q226', 'Q228', 'Q229', 'Q230', 'Q231', 'Q232', 'Q233', 'Q234', 'Q238', 'Q239', 'Q240', 'Q241', 'Q242', 'Q243', 'Q244', 'Q245', 'Q246', 'Q248', 'Q249', 'Q250', 'Q251', 'Q252', 'Q253', 'Q254', 'Q255', 'Q256', 'Q257', 'Q258', 'Q259', 'Q260', 'Q261', 'Q262', 'Q263', 'Q264', 'Q265', 'Q266', 'Q268', 'Q269', 'Q270', 'Q271', 'Q272', 'Q273', 'Q274', 'Q278', 'Q279', 'Q280', 'Q281', 'Q282', 'Q283', 'Q288', 'Q289']","['Fibroelastose  endocárdica', 'Malformacoes congénitas do tronco arterial', 'Dupla saida (grandes vasos) do venticulo direito', 'Ventrículo esquerdo com dupla via de saída', 'Comunicação ventrículo-auricular discordante', 'Ventrículo comum', 'Comunicação átrio-ventricular discordante', 'Isomerismo dos apêndices auriculares', 'Outras malformações congénitas das câmaras e das comunicações cardíacas', 'Malformação congénita não especificada das câmaras e das comunicações cardíacas', 'Defeito do septo interventricular', 'Defeito do septo interauricular tipo ostium secundum', 'Defeito septal aurículoventricular', 'Tetralogia de fallot', 'Comunicação aortopulmonar', 'Outras malformações congénitas dos septos cardíacos', 'Anomalias congénitas bulbus cordis/encerramento do septo cardíaco SOE', 'Atrésia congénita da válvula pulmonar', 'Estenose congénita da válvula pulmonar', 'Insuficiência congénita da válvula pulmonar', 'Outras malformações congénitas da válvula pulmonar', 'Estenose congénita da válvula tricúspide', 'Anomalia de ebstein [da válvula pulmonar]', 'Síndrome do coração direito hipoplásico', 'Outras malformações congénitas da válvula tricúspide', 'Malformação congénita não especificada da válvula tricúspide', 'Estenose congénita da válvula aórtica', 'Insuficiência congénita da válvula aórtica', 'Estenose mitral congénita', 'Insuficiência mitral congénita', 'Síndrome do coração esquerdo hipoplásico', 'Outras malformações congénitas das válvulas aórtica e mitral', 'Malformação congénita não especificada das válvulas aórtica e mitral', 'Dextrocardia', 'Levocardia', 'Cor triatriatum', 'Estenose congénita do infundíbulo pulmonar', 'Estenose congénita subaórtica', 'Malformações dos vasos coronários', 'Bloqueio cardíaco congénito', 'Outras malformações congénitas especificadas do coração', 'Malformação não especificada do coração', 'Persistência do canal arterial', 'Coartacão da aorta (pre-ductal) (pos-ductal)', 'Atrésia da aorta', 'Estenose supraválvular da aorta', 'Outras malformações congénitas da aorta', 'Atrésia da artéria pulmonar', 'Estenose de artéria pulmonar', 'Outras malformações congénitas da artéria pulmonar', 'Outras malformações congénitas das grandes artérias', 'Malformação congénita não especificada das grandes artérias', 'Estenose congénita da veia cava', 'Persistência da veia cava superior esquerda', 'Conexão venosa pulmonar totalmente anómala', 'Conexão venosa pulmonar parcialmente anomala', 'Comunicação venosa pulmonar anormal, sem outra especificação', 'Comunicação venosa portal anormal', 'Fístula entre a veia porta e a artéria hepática', 'Outras malformações congénitas das grandes veias', 'Malformação congénita não especificada de grande veia', 'Ausência ou hipoplasia congénita da artéria umbilical', 'Estenose congénita da artéria renal', 'Outras malformações congénitas da artéria renal', 'Malformação arteriovenosa (periférica)', 'Ectasia venosa (flebectasia) congénita', 'Outras malformações congénitas especificadas do sistema vascular periférico', 'Malformação congénita não especificada do sistema vascular periférico', 'Malformação arteriovenosa de vasos pré-cerebrais', 'Outras malformações dos vasos pré-cerebrais', 'Malformação arteriovenosa de vasos cerebrais', 'Outras malformações dos vasos cerebrais', 'Outras malformações congénitas especificadas do aparelho circulatório', 'Malformacoes congénitas do aparelho circulatório, SOE']","Fibroelastose  endocárdica; Malformacoes congénitas do tronco arterial; Dupla saida (grandes vasos) do venticulo direito; Ventrículo esquerdo com dupla via de saída; Comunicação ventrículo-auricular discordante; Ventrículo comum; Comunicação átrio-ventricular discordante; Isomerismo dos apêndices auriculares; Outras malformações congénitas das câmaras e das comunicações cardíacas; Malformação congénita não especificada das câmaras e das comunicações cardíacas; Defeito do septo interventricular; Defeito do septo interauricular tipo ostium secundum; Defeito septal aurículoventricular; Tetralogia de fallot; Comunicação aortopulmonar; Outras malformações congénitas dos septos cardíacos; Anomalias congénitas bulbus cordis/encerramento do septo cardíaco SOE; Atrésia congénita da válvula pulmonar; Estenose congénita da válvula pulmonar; Insuficiência congénita da válvula pulmonar; Outras malformações congénitas da válvula pulmonar; Estenose congénita da válvula tricúspide; Anomalia de ebstein [da válvula pulmonar]; Síndrome do coração direito hipoplásico; Outras malformações congénitas da válvula tricúspide; Malformação congénita não especificada da válvula tricúspide; Estenose congénita da válvula aórtica; Insuficiência congénita da válvula aórtica; Estenose mitral congénita; Insuficiência mitral congénita; Síndrome do coração esquerdo hipoplásico; Outras malformações congénitas das válvulas aórtica e mitral; Malformação congénita não especificada das válvulas aórtica e mitral; Dextrocardia; Levocardia; Cor triatriatum; Estenose congénita do infundíbulo pulmonar; Estenose congénita subaórtica; Malformações dos vasos coronários; Bloqueio cardíaco congénito; Outras malformações congénitas especificadas do coração; Malformação não especificada do coração; Persistência do canal arterial; Coartacão da aorta (pre-ductal) (pos-ductal); Atrésia da aorta; Estenose supraválvular da aorta; Outras malformações congénitas da aorta; Atrésia da artéria pulmonar; Estenose de artéria pulmonar; Outras malformações congénitas da artéria pulmonar; Outras malformações congénitas das grandes artérias; Malformação congénita não especificada das grandes artérias; Estenose congénita da veia cava; Persistência da veia cava superior esquerda; Conexão venosa pulmonar totalmente anómala; Conexão venosa pulmonar parcialmente anomala; Comunicação venosa pulmonar anormal, sem outra especificação; Comunicação venosa portal anormal; Fístula entre a veia porta e a artéria hepática; Outras malformações congénitas das grandes veias; Malformação congénita não especificada de grande veia; Ausência ou hipoplasia congénita da artéria umbilical; Estenose congénita da artéria renal; Outras malformações congénitas da artéria renal; Malformação arteriovenosa (periférica); Ectasia venosa (flebectasia) congénita; Outras malformações congénitas especificadas do sistema vascular periférico; Malformação congénita não especificada do sistema vascular periférico; Malformação arteriovenosa de vasos pré-cerebrais; Outras malformações dos vasos pré-cerebrais; Malformação arteriovenosa de vasos cerebrais; Outras malformações dos vasos cerebrais; Outras malformações congénitas especificadas do aparelho circulatório; Malformacoes congénitas do aparelho circulatório, SOE"
